Depth ice/snow [m],Age model [ka],δD [‰ SMOW],delta T [°C],Sample ID
2770.35,422.171,-403.4,-1.87,5038
2770.9,422.475,-401.3,-1.55,5039
2771.45,422.768,-400.9,-1.51,5040
2772,423.056,-405,-2.21,5041
2772.55,423.359,-407.1,-2.59,5042
2773.1,423.669,-404,-2.1,5043
2773.65,423.963,-405.3,-2.34,5044
2774.2,424.263,-398.8,-1.29,5045
2774.75,424.536,-392.3,-0.24,5046
2775.3,424.784,-390.1,0.09,5047
2775.85,425.027,-392.2,-0.29,5048
2776.4,425.277,-396.2,-0.99,5049
2776.95,425.537,-401.5,-1.9,5050
2777.5,425.813,-401,-1.85,5051
2778.05,426.09,-402.5,-2.13,5052
2778.6,426.39,-405.6,-2.67,5053
2779.15,426.715,-403.1,-2.29,5054
2779.7,427.02,-406.8,-2.93,5055
2780.25,427.343,-412.8,-3.95,5056
2780.8,427.684,-417.2,-4.7,5057
2781.35,428.065,-416.6,-4.63,5058
2781.9,428.444,-423.7,-5.83,5059
2782.45,428.868,-424.9,-6.05,5060
2783,429.259,-428.1,-6.61,5061
2783.55,429.718,-429,-6.79,5062
2784.1,430.187,-433.6,-7.58,5063
2784.65,430.693,-436.6,-8.1,5064
2785.2,431.226,-437,-8.19,5065
2785.75,431.767,-436.9,-8.19,5066
2786.3,432.326,-436.8,-8.19,5067
2786.85,432.87,-437.8,-8.39,5068
2787.4,433.425,-436,-8.12,5069
2787.95,433.969,-438.6,-8.58,5070
2788.5,434.472,-435.9,-8.17,5071
2789.05,435.023,-437.7,-8.49,5072
2789.6,435.592,-434.8,-8.03,5073
2790.15,436.141,-440,-8.91,5074
2790.7,436.726,-444.3,-9.63,5075
2791.25,437.267,-441.9,-9.25,5076
2791.8,437.827,-443.8,-9.6,5077
2792.35,438.423,-438.9,-8.8,5078
2792.9,439.039,-441.2,-9.19,5079
2793.45,439.625,-440.9,-9.15,5080
2794,440.206,-440.2,-9.04,5081
2794.55,440.798,-440.3,-9.07,5082
2795.1,441.388,-438.3,-8.73,5083
2795.65,441.954,-435.8,-8.33,5084
2796.2,442.535,-436.3,-8.42,5085
2796.75,443.12,-433.2,-7.91,5086
2797.3,443.682,-428.6,-7.15,5087
2797.85,444.216,-432.4,-7.77,5088
2798.4,444.785,-430.4,-7.45,5089
2798.95,445.342,-430.4,-7.45,5090
2799.5,445.9,-431.6,-7.65,5091
2800.05,446.471,-430.6,-7.48,5092
2800.6,447.034,-422.5,-6.15,5093
2801.15,447.536,-423.5,-6.32,5094
2801.7,448.047,-424.9,-6.56,5095
2802.25,448.573,-431.1,-7.58,5096
2802.8,449.151,-429.3,-7.28,5097
2803.35,449.719,-429.2,-7.26,5098
2803.9,450.288,-431.6,-7.65,5099
2804.45,450.881,-433.3,-7.92,5100
